# id ,pocet_rovnakych, prienik
#
0, 2, ["kazdy", "pozvany"]
1, 5, ["akce", "formular", "firebase", "google", "nejvetsich"]
2, 6, ["turnaj", "timov", "timy", "klacelkach", "burdas", "spravidla"]
3, 3, ["jakub", "mozno", "prekvapenie"]
4, 2, ["vladom", "hrhov"]
5, 5, ["data", "datapivo", "hlinky", "learning", "produktu"]
6, 6, ["zacatek", "tematech", "registrace", "hlasovani", "konani", "trendy"]
7, 3, ["quiz", "ktorej", "multiplayer"]
8, 7, ["faculty", "informatics", "informatiky", "festival", "university", "movies", "snimky"]
9, 5, ["firem", "technologies", "prezentace", "budova", "cast"]
10, 9, ["cast", "klacelky", "skupiny", "vstupne", "rozpis", "zmenit", "turnajom", "dvaja", "mozne"]
11, 2, ["jake", "prehled"]
12, 3, ["vyvojari", "herni", "unity"]
13, 4, ["tesnohlidkovej", "narodeniny", "alias", "vlastny"]
14, 6, ["sbalit", "roku", "zenu", "brne", "diky", "uspech"]
15, 7, ["urcite", "zialbohu", "trejd", "talent", "hokejovy", "chvalabohu", "teraz"]
16, 3, ["pytam", "malo", "chlapci"]
17, 5, ["stredy", "dost", "vstupne", "format", "jediny"]
18, 4, ["vsetci", "prebiehat", "urcite", "pribytku"]
19, 2, ["svete", "zahranicni"]
20, 3, ["experimentatory", "vsechny", "vseznalky"]
21, 1, ["prichadza"]
22, 8, ["google", "tappytaps", "anglicky", "analytics", "prednasku", "admob", "aplikaci", "mobile"]
23, 4, ["party", "stredu", "treba", "pukance"]
24, 6, ["zapasy", "timov", "znova", "trofej", "kazdym", "zeny"]
